Collection Date,Tick ID,Life Stage ,Sex,Site,Combined ID,Day,Quested?,Max Height Quested (cm),Questing Height Average,Total Time Spent Questing,Average Duration Spent on a quest (sec),Infection Status ,Bacterial Species ,Notes,
5/5/2020,MS1,Nymph,NA,MS,43956 MS1,Day 1,Yes,39,38,15,7.5,Negative ,,,
5/5/2020,MS1,Nymph,NA,MS,43956 MS1,Day 2,Yes,55,40.1,400,57.1,Negative ,,,
5/5/2020,MS1,Nymph,NA,MS,43956 MS1,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS2,Nymph,NA,MS,43956 MS2,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS2,Nymph,NA,MS,43956 MS2,Day 2,No,0,0,0,0,Positive,,,
5/5/2020,MS2,Nymph,NA,MS,43956 MS2,Day 3,No,0,0,0,0,Positive,,,
5/5/2020,MS3,Adult,Female,MS,43956 MS3,Day 1,No,0,0,0,0,Negative ,,,
5/5/2020,MS3,Adult,Female,MS,43956 MS3,Day 2,Yes,50,25.9,199,22.1,Negative ,,,
5/5/2020,MS3,Adult,Female,MS,43956 MS3,Day 3,No,0,0,0,0,Negative ,,,
5/5/2020,MS4,Adult,Male,MS,43956 MS4,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS4,Adult,Male,MS,43956 MS4,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS4,Adult,Male,MS,43956 MS4,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS5,Adult,Male,MS,43956 MS5,Day 1,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS5,Adult,Male,MS,43956 MS5,Day 2,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS5,Adult,Male,MS,43956 MS5,Day 3,No,0,0,0,0,Positive,R. amblyommatis,,
5/5/2020,MS6,Nymph,NA,MS,43956 MS6,Day 1,Yes,53,31.8,175,43.8,Negative ,,,
5/5/2020,MS6,Nymph,NA,MS,43956 MS6,Day 2,Yes,1,1,111,111,Negative ,,,
5/5/2020,MS6,Nymph,NA,MS,43956 MS6,Day 3,No,0,0,0,0,Negative ,,,
